Idrissa Gueye	25	2101	2	2.00	0.00	29	7	6.90%	0.07
Neco Williams	37	3206	2	1.97	0.03	46	19	4.35%	0.04
Wilson Odobert	24	980	0	1.96	-1.96	22	8	0.00%	0.09
Omari Hutchinson	31	1684	1	1.94	-0.94	25	11	4.00%	0.08
Mats Wieffer	26	1908	2	1.93	0.07	18	6	11.11%	0.11
Mohammed Kudus	19	1545	2	1.93	0.07	26	9	7.69%	0.07
Alex Iwobi	29	2434	4	1.92	2.08	39	15	10.26%	0.05
Ryan Christie	26	986	2	1.92	0.08	25	8	8.00%	0.08
Ryan Gravenberch	36	2996	5	1.90	3.10	38	13	13.16%	0.05
Nordi Mukiele	32	2787	3	1.88	1.12	26	4	11.54%	0.07
Maxim De Cuyper	30	1414	2	1.82	0.18	13	6	15.38%	0.14
Jefferson Lerma	31	1724	0	1.82	-1.82	19	7	0.00%	0.10
Sven Botman	25	1838	1	1.74	-0.74	15	4	6.67%	0.12
Jake O'Brien	37	3124	1	1.74	-0.74	13	6	7.69%	0.13
Sandro Tonali	35	2543	0	1.74	-1.74	37	8	0.00%	0.05
Calvin Bassey	30	2532	1	1.72	-0.72	13	2	7.69%	0.13
Pape Matar Sarr	26	1391	2	1.72	0.28	17	6	11.76%	0.10
Lewis Dunk	33	2837	1	1.71	-0.71	24	3	4.17%	0.07
Amadou Onana	25	1764	2	1.71	0.29	19	7	10.53%	0.09
Anthony Elanga	32	1313	0	1.67	-1.67	17	4	0.00%	0.10
James Justin	29	1896	2	1.67	0.33	24	6	8.33%	0.07
Daichi Kamada	28	1908	0	1.65	-1.65	19	4	0.00%	0.09
Omar Alderete	33	2802	1	1.64	-0.64	24	9	4.17%	0.07
Tyrick Mitchell	38	3253	1	1.61	-0.61	19	7	5.26%	0.08
Ryan Sessegnon	27	1822	3	1.61	1.39	16	4	18.75%	0.10
Ao Tanaka	28	1314	2	1.61	0.39	17	5	11.76%	0.09
Milos Kerkez	34	2260	2	1.59	0.41	9	2	22.22%	0.18
Evann Guessand	21	916	1	1.56	-0.56	11	6	9.09%	0.14
Malo Gusto	34	2267	2	1.56	0.44	12	6	16.67%	0.13
Sander Berge	35	2911	0	1.54	-1.54	15	3	0.00%	0.10
Adam Wharton	34	2562	1	1.52	-0.52	32	6	3.12%	0.05
Marcos Senesi	37	3290	0	1.52	-1.52	17	5	0.00%	0.09
Mason Mount	23	1018	3	1.50	1.50	19	5	15.79%	0.08
Marcus Edwards	23	1064	1	1.49	-0.49	23	6	4.35%	0.06
Jaydee Canvot	20	1334	0	1.48	-1.48	7	1	0.00%	0.21
Oscar Bobb	23	1037	0	1.48	-1.48	12	3	0.00%	0.12
Archie Gray	24	1479	2	1.48	0.52	11	5	18.18%	0.13
Joachim Andersen	33	2877	0	1.48	-1.48	16	4	0.00%	0.09
Nicolás Domínguez	27	1175	1	1.47	-0.47	18	5	5.56%	0.08
Matthijs de Ligt	13	1170	1	1.46	-0.46	11	3	9.09%	0.13
Pascal Groß	19	1636	1	1.45	-0.45	18	9	5.56%	0.08
Moisés Caicedo	33	2802	3	1.44	1.56	27	7	11.11%	0.05
Trevoh Chalobah	34	2782	3	1.43	1.57	16	5	18.75%	0.09
Timothy Castagne	30	1842	0	1.42	-1.42	14	6	0.00%	0.10
Noah Sadiki	33	2894	0	1.41	-1.41	18	5	0.00%	0.08
Joe Rodon	35	2953	2	1.41	0.59	18	7	11.11%	0.08
Lucas Bergvall	23	966	1	1.40	-0.40	12	5	8.33%	0.12
Leny Yoro	32	1739	0	1.39	-1.39	9	3	0.00%	0.15
Dwight McNeil	22	1168	0	1.39	-1.39	24	5	0.00%	0.06
Jacob Bruun Larsen	28	1023	0	1.38	-1.38	17	4	0.00%	0.08
Tyrone Mings	17	1323	0	1.37	-1.37	9	1	0.00%	0.15
Adrien Truffert	38	3380	1	1.36	-0.36	16	6	6.25%	0.09
Lewis Miley	23	1493	1	1.34	-0.34	12	4	8.33%	0.11
Nicolò Savona	14	1026	2	1.34	0.66	5	3	40.00%	0.27
Morato	21	1342	1	1.32	-0.32	5	2	20.00%	0.26
Cristian Romero	23	1872	4	1.31	2.69	17	6	23.53%	0.08
Ian Maatsen	30	1599	0	1.30	-1.30	20	5	0.00%	0.06
João Gomes	35	2833	1	1.28	-0.28	19	7	5.26%	0.07
Pau Torres	21	1676	0	1.27	-1.27	9	1	0.00%	0.14
Joe Willock	24	980	0	1.26	-1.26	17	6	0.00%	0.07
Loum Tchaouna	29	1270	2	1.25	0.75	23	9	8.70%	0.05
Sean Longstaff	23	1006	2	1.25	0.75	16	4	12.50%	0.08
Ezri Konsa	34	3036	0	1.25	-1.25	11	2	0.00%	0.11
Martin Ødegaard	24	1370	1	1.23	-0.23	22	8	4.55%	0.06
Noni Madueke	26	1217	3	1.22	1.78	26	10	11.54%	0.05
Ibrahima Konaté	36	3100	1	1.21	-0.21	12	4	8.33%	0.10
Kevin	26	1037	1	1.20	-0.20	25	10	4.00%	0.05
